,LotArea,LotFrontage,Alley,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,OpenPorchSF,EnclosedPorch,GarageArea,SalePrice
0,11622,80.0,0,5,1961,1961,0.0,468.0,882.0,896,0,896,5,730.0,0,0,730.0,134591.51
1,14267,81.0,0,6,1958,1958,108.0,923.0,1329.0,1329,0,1329,6,312.0,36,0,312.0,141407.0
2,13830,74.0,0,5,1997,1998,0.0,791.0,928.0,928,701,1629,6,482.0,34,0,482.0,184139.27
3,9978,78.0,0,6,1998,1998,20.0,602.0,926.0,926,678,1604,7,470.0,36,0,470.0,189109.77
4,5005,43.0,0,8,1992,1992,0.0,263.0,1280.0,1280,0,1280,5,506.0,82,0,506.0,191413.63
5,10000,75.0,0,6,1993,1994,0.0,0.0,763.0,763,892,1655,7,440.0,84,0,440.0,188751.77
6,7980,0.0,0,6,1992,2007,0.0,935.0,1168.0,1187,0,1187,6,420.0,21,0,420.0,170539.58
7,8402,63.0,0,6,1998,1998,0.0,0.0,789.0,789,676,1465,7,393.0,75,0,393.0,182572.37
8,10176,85.0,0,7,1990,1990,0.0,637.0,1300.0,1341,0,1341,5,506.0,0,0,506.0,179919.72
9,8400,70.0,0,4,1970,1970,0.0,804.0,882.0,882,0,882,4,525.0,0,0,525.0,131095.51
10,5858,26.0,0,7,1999,1999,0.0,1051.0,1405.0,1337,0,1337,5,511.0,68,0,511.0,197048.12
11,1680,21.0,0,6,1971,1971,504.0,156.0,483.0,483,504,987,5,264.0,0,0,264.0,132181.0
12,1680,21.0,0,5,1971,1971,492.0,300.0,525.0,525,567,1092,6,320.0,0,0,320.0,136226.5
13,2280,24.0,0,6,1975,1975,0.0,514.0,855.0,855,601,1456,6,440.0,0,0,440.0,155439.5
14,2280,24.0,0,7,1975,1975,0.0,0.0,836.0,836,0,836,4,308.0,30,0,308.0,129857.28
15,12858,102.0,0,9,2009,2010,162.0,0.0,1590.0,1627,707,2334,10,751.0,133,0,751.0,288682.44
16,12883,94.0,0,8,2009,2010,256.0,0.0,1544.0,1544,0,1544,7,868.0,35,0,868.0,243700.45
17,11520,90.0,0,9,2005,2005,615.0,110.0,1698.0,1698,0,1698,7,730.0,74,0,730.0,269096.88
18,14122,79.0,0,8,2005,2006,240.0,28.0,1822.0,1822,0,1822,8,678.0,119,0,678.0,249902.27
19,14300,110.0,0,9,2003,2004,1095.0,1373.0,2846.0,2696,0,2696,10,958.0,150,0,958.0,333880.65
20,13650,105.0,0,8,2002,2002,232.0,578.0,1671.0,1687,563,2250,7,756.0,130,0,756.0,284216.69
21,7132,41.0,0,8,2006,2006,178.0,24.0,1370.0,1370,0,1370,6,484.0,49,0,484.0,203387.03
22,18494,100.0,0,6,2005,2005,0.0,0.0,1324.0,1324,0,1324,6,430.0,23,0,430.0,184475.94
23,3203,43.0,0,7,2006,2006,14.0,16.0,1145.0,1145,0,1145,6,437.0,116,0,437.0,187251.55
24,13300,67.0,0,7,2004,2004,0.0,326.0,384.0,744,630,1374,7,400.0,0,0,400.0,182433.37
25,8577,63.0,0,7,2004,2004,0.0,0.0,847.0,847,886,1733,7,433.0,48,0,433.0,189742.37
26,17433,60.0,0,8,1998,1998,114.0,0.0,1629.0,1645,830,2475,7,962.0,172,0,962.0,279894.95
27,8987,73.0,0,8,2005,2006,226.0,0.0,1595.0,1595,0,1595,6,880.0,0,0,880.0,237797.07
28,9215,92.0,0,7,2009,2010,0.0,0.0,1218.0,1218,0,1218,4,676.0,136,0,676.0,196811.33
29,10440,84.0,0,6,2005,2005,0.0,1414.0,1468.0,1468,0,1468,6,528.0,102,0,528.0,212449.78
30,11920,70.0,0,7,2004,2004,122.0,0.0,831.0,831,828,1659,8,484.0,68,0,484.0,194975.9
31,9800,70.0,0,5,1920,1950,0.0,0.0,816.0,1012,0,1012,5,429.0,0,80,429.0,116631.56
32,15410,39.0,0,6,1974,2002,250.0,126.0,1208.0,1494,0,1494,7,461.0,0,186,461.0,176667.65
33,13143,85.0,0,8,1993,1993,504.0,250.0,1231.0,1251,1098,2349,9,762.0,130,0,762.0,272531.15
34,11134,88.0,0,8,1992,1993,180.0,1129.0,1390.0,1402,823,2225,7,713.0,30,0,713.0,263419.63
35,4835,25.0,0,7,2004,2005,0.0,1298.0,1488.0,1488,0,1488,6,506.0,50,0,506.0,209295.71
36,3515,39.0,1,7,2004,2004,0.0,0.0,840.0,840,840,1680,3,588.0,111,0,588.0,180285.06
37,3215,30.0,1,7,2004,2004,120.0,280.0,600.0,600,600,1200,4,480.0,172,0,480.0,172109.42
38,2544,24.0,1,7,2004,2005,0.0,368.0,600.0,600,600,1200,4,480.0,172,0,480.0,172126.92
39,2544,24.0,1,6,2005,2005,216.0,376.0,600.0,600,636,1236,4,480.0,166,0,480.0,166500.17
40,2980,0.0,0,6,2000,2000,1159.0,466.0,756.0,756,756,1512,5,440.0,32,0,440.0,183578.51
41,2403,0.0,0,7,2003,2003,0.0,244.0,530.0,530,550,1080,4,496.0,50,0,496.0,161798.67
42,12853,57.0,1,8,2010,2010,0.0,1032.0,1642.0,1418,0,1418,6,852.0,192,0,852.0,248379.36
